TimeStamp,Study(1)/NonStudy(2),Specification,Table(T)/Hand(H),Path,PackageName,Light Intensity,RAW Accelerometer X,RAW Accelerometer Y,RAW Accelerometer Z,Displacement(ACC),RAW Gyroscope X,RAW Gyroscope Y,RAW Gyroscope Z,Displacement(Gyro),RAW Gravity X,RAW Gravity Y,RAW Gravity Z,Displacement(Grav),RAW Rotation Vector X,RAW Rotation Vector Y,RAW Rotation Vector Z,Displacement(RotVec),RAW Game Rotation Vector X,RAW Game Rotation Vector Y,RAW Game Rotation Vector Z,Displacement(GameRotVec),RAW Linear Acceleration X,RAW Linear Acceleration Y,RAW Linear Acceleration Z,Displacement(LinAcc),Battery Temperature,Total Memory,Free Memory,Memory Used,Others
2018-02-15-15.08.36.,1,1A,H,com.android.chrome,null,80,0.13407898,4.0414124,9.040512,9.903628051,-0.014450073,-0.004898071,6.71E-04,1.53E-02,0.12411756,4.0042996,8.951009,9.806649916,0.15065189,0.14478515,0.69869757,0.729271572,0.20117642,-0.05645153,-0.23554277,0.314863659,0.12637465,-0.039722443,-0.011683464,0.132984691,30,882,299,583,82
2018-02-15-15.08.37.,1,1A,H,com.android.chrome,null,84,0.15322876,3.8881836,9.097961,9.895167766,0.002593994,0.008956909,6.71E-04,9.35E-03,0.16515389,3.8765495,9.006413,9.80665014,0.14617562,0.1394038,0.7054749,0.733822571,0.19387421,-0.05668795,-0.23459868,0.309575958,-0.01341328,-0.023296356,0.010394096,0.028821407,30,882,270,612,83
2018-02-15-15.08.38.,1,1A,H,com.android.chrome,null,77,0.17237854,4.0222626,8.944733,9.809003987,0.0771637,-0.02619934,-0.001464844,8.15E-02,0.036313694,4.047368,8.932406,9.806649956,0.14788057,0.15068302,0.70373917,0.734726381,0.20438519,-0.052921884,-0.23651563,0.317038917,0.116575845,-0.043763638,0.04381466,0.13200344,30,882,244,638,84
2018-02-15-15.08.39.,1,1A,H,com.android.chrome,null,90,0.17237854,3.5434113,9.366119,10.01547119,0.05479431,-0.013412476,-0.021697998,6.04E-02,0.28629345,3.5185683,9.149214,9.80665099,0.13762881,0.12074049,0.70612985,0.7294788,0.17349428,-0.058478102,-0.23742035,0.299813903,-0.116944164,-0.01238656,0.15839863,0.197280233,30,882,243,639,85
2018-02-15-15.08.40.,1,1A,H,com.android.chrome,null,105,1.0534515,4.194641,8.944733,9.935442699,-0.04321289,0.007888794,0.050735474,6.71E-02,0.8987205,4.2403502,8.796711,9.806650436,0.18847157,0.12637661,0.69832337,0.734267056,0.20408653,-0.09920318,-0.23490465,0.326607987,0.14714783,-0.08148813,0.073797226,0.183681327,30,882,240,642,86
2018-02-15-15.08.41.,1,1A,H,com.android.chrome,null,105,0.8427582,4.2712555,8.963898,9.965206083,-6.10E-04,-0.005966187,-0.015304565,1.64E-02,0.9586229,4.12111,8.846913,9.806649536,0.18595457,0.11980752,0.70019245,0.734304032,0.1971599,-0.100304134,-0.23377497,0.321844189,-0.08761871,0.049395084,0.024061203,0.103420763,30,882,242,640,87
2018-02-15-15.08.42.,1,1A,H,com.android.chrome,null,103,0.97683716,4.2521057,8.9830475,9.986478664,0.002593994,0.016403198,0.003860474,1.70E-02,0.8720864,4.3007107,8.770048,9.806650251,0.19069593,0.12840196,0.6931521,0.730282024,0.20712839,-0.09974885,-0.23958766,0.332045554,-0.03865552,-0.037137985,0.08088589,0.097036109,30,882,241,641,88
2018-02-15-15.08.43.,1,1A,H,com.android.chrome,null,97,0.59376526,4.2521057,8.887283,9.869992867,0.004730225,-0.020874023,-0.038742065,4.43E-02,0.65879107,4.119059,8.875232,9.806650589,0.17589952,0.12864093,0.6933087,0.726750358,0.2001591,-0.08617116,-0.23950675,0.323809539,-0.071923435,0.10906935,-0.023423195,0.132731871,30,882,241,641,89
2018-02-15-15.08.44.,1,1A,H,com.android.chrome,null,95,0.59376526,3.4667969,9.040512,9.700623441,-0.18170166,-0.11035156,0.088012695,2.30E-01,0.5378467,3.4887855,9.149289,9.806650424,0.1451776,0.1115328,0.710716,0.733916435,0.16986838,-0.068270326,-0.22334348,0.288787836,0.07078117,-0.049797535,-0.1625557,0.184157878,30,882,240,642,90
2018-02-15-15.08.45.,1,1A,H,com.android.chrome,null,95,0.55545044,3.9456482,9.021347,9.862117755,0.006851196,0.012145996,0.005996704,1.52E-02,0.5421012,3.8911235,8.985303,9.806650081,0.16197936,0.12505892,0.69937414,0.728698315,0.18989548,-0.07626766,-0.23598345,0.312354347,-0.010001302,0.06267166,-0.03358364,0.071802673,30,882,238,644,91
2018-02-15-15.08.46.,1,1A,H,com.android.chrome,null,76,-0.47883606,4.194641,9.90242,10.76486038,-0.4938202,0.035583496,-0.07710266,5.01E-01,-0.08647916,3.9563844,8.972733,9.806650481,0.14425522,0.15027678,0.6927866,0.723426535,0.20076722,-0.047015768,-0.24387859,0.319366131,-0.34654754,0.25417376,0.4237995,0.603577264,30,882,238,644,92
2018-02-15-15.08.47.,1,1A,H,com.android.chrome,null,87,0.8236084,4.0222626,7.910446,8.912467848,0.15066528,-0.16575623,0.035827637,2.27E-01,0.4822369,4.116489,8.887764,9.806649939,0.17021596,0.13370366,0.6883053,0.721536089,0.20164664,-0.07866879,-0.24660052,0.328118824,0.2033442,-0.108780384,-0.87770844,0.907498838,30,882,240,642,93
2018-02-15-15.08.48.,1,1A,H,com.android.chrome,null,105,0.6895294,3.5051117,9.289505,9.952696216,-0.05706787,-0.016616821,0.019836426,6.27E-02,0.7190151,3.445076,9.153407,9.806650349,0.15112905,0.102304205,0.7058776,0.72908801,0.16468187,-0.07865128,-0.23352842,0.296380946,-0.07360935,0.03213024,0.023639679,0.083722895,30,882,240,642,94
2018-02-15-15.08.49.,1,1A,H,com.android.chrome,null,105,0.7086792,3.447647,9.212891,9.862345392,0.010055542,-0.010223389,-0.008926392,1.69E-02,0.73196495,3.4034016,9.167959,9.80665016,0.14952515,0.1010268,0.70970446,0.732287242,0.16251802,-0.078435175,-0.23170653,0.293687078,-0.010518432,0.052812815,-0.016051292,0.056191412,30,882,240,642,95
2018-02-15-15.08.50.,1,1A,H,com.android.chrome,null,92,0.61291504,3.7924194,9.25119,10.01711666,-0.029373169,-0.003829956,0.041152954,5.07E-02,0.50080496,3.8577335,9.002082,9.806650483,0.15857995,0.12680967,0.7043115,0.732995895,0.18881938,-0.07327222,-0.23379366,0.309323539,0.031315744,-0.0783627,0.36551666,0.375131733,30,882,239,643,96
