mem,temp,acc,rot,class
643.19047619,27.4,204.541951652,0.089446,1
644.857142857,27.4,204.580151891,0.088986,1
646,27.4,204.522718602,0.092486,1
646.666666667,27.4,204.541796239,0.094716,1
647.285714286,27.4,204.559911237,0.130876,1
648.238095238,27.4,204.559911237,0.131336,1
649.047619048,27.4,204.542811314,0.133426,1
650.285714286,27.4,204.581007349,0.134526,1
651.523809524,27.4,204.620278141,0.15472,1
652.80952381,27.4,204.600069246,0.15299,1
654.095238095,27.4,204.619130176,0.15267,1
655.380952381,27.4,204.617040584,0.14979,1
656.666666667,27.4,204.61741786,0.18992,1
658.047619048,27.4,204.621114181,0.19887,1
659.380952381,27.4,204.582861756,0.19866,1
660.666666667,27.4,204.563800831,0.15374,1
662.095238095,27.4,204.545793597,0.15489,1
663.476190476,27.4,204.509588208,0.15561,1
664.80952381,27.4,204.471331572,0.15643,1
666.047619048,27.4,204.430835235,0.15478,1
667.380952381,27.4,204.450987629,0.1554,1
668.666666667,27.4,204.448714302,0.15561,1
669.761904762,27.4,204.410514063,0.15511,1
670.285714286,27.4,204.470131052,0.15398,1
670.80952381,27.4,204.469114906,0.15251,1
670.857142857,27.4,204.449830058,0.11688,1
670.857142857,27.4,204.431711955,0.1181,1
670.952380952,27.4,204.450772885,0.14682,1
670.904761905,27.4,204.393402585,0.14586,1
670.857142857,27.4,204.354131793,0.12645,1
670.761904762,27.4,204.374340688,0.12803,1
670.666666667,27.4,204.393531438,0.12943,1
670.571428571,27.4,204.393380823,0.128506,1
670.476190476,27.4,204.412081184,0.089386,1
670.333333333,27.4,204.408441482,0.081826,1
670.19047619,27.4,204.446693907,0.083626,1
670.619047619,27.4,204.484950543,0.082736,1
670.761904762,27.4,204.482766843,0.080316,1
670.904761905,27.4,204.501901092,0.079686,1
671.571428571,27.4,204.52103734,0.078716,1
672.285714286,27.4,204.522170944,0.079276,1
672.904761905,27.4,204.522170944,0.078966,1
673.571428571,27.4,204.466986954,0.080036,1
674.285714286,27.4,204.506238969,0.119296,1
675.285714286,27.4,204.505127916,0.116376,1
676.095238095,27.4,204.524191907,0.116756,1
677.095238095,27.4,204.581619853,0.116436,1
677.761904762,27.4,204.600754102,0.112076,1
678.428571429,27.4,204.637992593,0.083866,1
679.142857143,27.4,204.713413451,0.138736,1
680.047619048,27.4,204.733622346,0.140126,1
681,27.4,204.753849511,0.144726,1
681.952380952,27.4,204.885710661,0.146756,1
682.857142857,27.4,204.86663092,0.14843,1
683.666666667,27.4,204.847647566,0.16125,1
684.523809524,27.4,204.848722323,0.15863,1
685.380952381,27.4,204.828474882,0.1668,1
685.714285714,27.4,204.828474882,0.16671,1
686.333333333,27.4,204.830602087,0.21494,1
686.904761905,27.4,204.887939939,0.28759,1
687.047619048,27.4,204.869821836,0.29411,1
687.238095238,27.4,204.907094977,0.29426,1
687.476190476,27.4,204.88801734,0.29324,1
686.428571429,27.4,204.926264642,0.29203,1
685.857142857,27.4,204.907165021,0.25526,1
685.238095238,27.4,204.907259119,0.25625,1
684.761904762,27.4,204.849939221,0.25598,1
684.333333333,27.4,204.792511275,0.25585,1
683.666666667,27.4,204.773377026,0.25742,1
683,27.4,204.773320629,0.25939,1
682.523809524,27.4,204.735135527,0.20674,1
682,27.4,204.717058021,0.20576,1
681.619047619,27.4,204.7148222,0.199114,1
681.80952381,27.4,204.581888403,0.198344,1
682.380952381,27.4,204.602021983,0.198914,1
681.333333333,27.4,204.641382906,0.184634,1
679.047619048,27.4,204.660460543,0.184444,1
676.761904762,27.4,204.642398947,0.174524,1
674.476190476,27.4,204.643413103,0.174544,1
672.142857143,27.4,204.641285898,0.127014,1
669.857142857,27.4,204.565983647,0.054664,1
667.523809524,27.4,204.585174397,0.048714,1
665.238095238,27.4,204.624390132,0.050004,1
662.857142857,27.4,204.643467769,0.051074,1
661.80952381,27.4,204.641227562,0.051444,1
660.333333333,27.4,204.642338621,0.049034,1
658.904761905,27.4,204.662471688,0.068024,1
657.285714286,27.4,204.720862139,0.068334,1
655.619047619,27.4,204.76022367,0.069544,1
654.19047619,27.4,204.760280282,0.094474,1
652.761904762,27.4,204.742288938,0.090564,1
651.19047619,27.4,204.762423482,0.098814,1
649.476190476,27.4,204.74007649,0.102124,1
647.571428571,27.4,204.723139704,0.10633,1
645.142857143,27.4,204.724212351,0.11496,1
642.380952381,27.4,204.780577521,0.13851,1
641.333333333,27.4,204.779299573,0.14649,1
