typing_speed,max_text,touch_count,shake_count,arousal,valence,state
2.4444,30,30,94,0,-1,3
2.6667,20,20,23,0,1,2
2.3333,21,21,53,0,1,2
1.6667,32,32,121,0,1,2
1.6667,36,36,109,0,1,2
2.0,30,30,16,0,1,2
2.0,15,15,13,0,1,2
1.8889,21,21,27,0,1,2
2.1111,33,33,136,0,1,2
2.2222,30,30,74,0,1,2
1.6667,23,23,16,0,1,2
1.7778,18,18,18,0,1,2
1.8889,36,36,117,0,1,2
1.5556,41,41,115,0,1,2
1.8889,38,38,85,0,1,2
2.0,14,14,22,0,1,2
2.0,19,20,61,0,1,2
2.3333,39,39,157,0,1,2
2.0,27,35,77,0,1,2
2.2222,33,33,23,0,1,2
2.0,20,20,35,0,1,2
4.5556,17,17,130,1,-1,4
4.4444,24,25,211,1,1,1
4.2222,40,40,176,1,1,1
4.2222,33,33,115,1,1,1
4.5556,16,16,12,1,1,1
4.2222,18,18,197,1,1,1
4.2222,36,36,186,1,1,1
4.6667,40,40,141,1,1,1
4.2222,19,19,23,1,1,1
4.4444,18,18,78,1,1,1
4.6667,20,20,198,1,1,1
4.4444,40,40,180,1,1,1
4.4444,33,33,85,1,1,1
4.4444,16,16,17,1,1,1
4.4444,19,19,113,1,1,1
4.3333,27,27,181,1,1,1
4.1111,42,42,148,1,1,1
4.2222,18,18,33,1,1,1
4.0,18,18,49,1,1,1
4.6667,17,17,109,1,1,1
3.5556,30,31,113,1,1,1
