typing_speed,max_text,touch_count,shake_count,arousal,valence,state
1.75,7,7,14,0,-1,3
2.0,8,8,16,0,1,2
2.0,9,9,29,0,1,2
2.0,7,7,6,1,-1,4
1.75,7,7,10,0,-1,3
1.75,4,4,17,1,-1,4
0.5,4,4,82,0,-1,3
1.5,4,4,16,0,1,2
1.5,5,5,14,0,1,2
1.0,8,8,62,0,1,2
2.5,14,14,35,1,-1,4
2.25,11,11,31,1,1,1
1.75,6,8,43,0,-1,3
2.25,10,10,30,1,-1,4
1.75,8,8,27,0,-1,3
1.75,8,8,23,0,1,2
1.75,8,8,24,0,1,2
2.25,7,7,42,1,-1,4
1.75,7,7,23,0,-1,3
1.5,11,11,56,0,1,2
3.0,10,10,79,1,-1,4
2.75,11,12,42,1,1,1
2.75,9,9,50,1,1,1
2.25,7,7,41,1,1,1
2.75,11,11,48,1,1,1
2.5,11,11,33,1,1,1
2.5,9,9,49,1,1,1
2.25,11,11,49,1,1,1
2.5,11,11,60,1,1,1
2.5,13,13,31,1,1,1
2.5,12,12,33,1,1,1
2.25,12,12,15,0,-1,3
2.0,12,12,8,0,1,2
2.0,10,10,15,0,1,2
2.25,9,9,17,1,-1,4
1.5,9,9,21,0,-1,3
2.0,9,9,0,0,1,2
1.75,7,7,4,0,1,2
2.25,8,8,2,1,-1,4
2.25,15,15,57,0,-1,3
2.25,14,14,49,0,1,2
2.5,13,13,7,1,-1,4
2.5,15,15,20,1,1,1
2.25,11,11,9,1,1,1
2.0,9,9,19,0,-1,3
2.5,9,9,17,1,-1,4
2.0,10,10,4,0,-1,3
2.0,10,10,10,0,1,2
2.0,8,8,13,0,1,2
3.0,5,5,86,1,-1,4
3.0,9,9,63,1,1,1
2.5,13,13,65,1,1,1
2.75,12,12,61,1,1,1
2.75,10,10,80,1,1,1
3.0,11,11,75,1,1,1
2.0,11,11,75,1,1,1
2.5,11,11,61,1,1,1
2.25,9,10,49,1,1,1
4.0,7,7,78,1,1,1
3.5,9,9,103,1,1,1
3.0,7,7,78,1,1,1
3.25,15,15,98,1,1,1
3.0,15,15,87,1,1,1
3.25,12,12,65,1,1,1
3.75,14,14,99,1,1,1
3.0,12,12,62,1,1,1
3.5,12,12,74,1,1,1
3.0,15,15,82,1,1,1
3.75,10,10,62,1,1,1
3.0,10,10,105,1,1,1
2.75,8,8,88,1,1,1
3.0,8,8,75,1,1,1
3.0,14,14,88,1,1,1
3.25,13,13,75,1,1,1
3.0,9,9,65,1,1,1
3.0,12,12,60,1,1,1
2.5,12,12,53,1,1,1
2.75,14,14,49,1,1,1
3.25,8,8,10,1,1,1
3.75,8,8,50,1,1,1
2.75,8,8,56,1,1,1
3.75,8,8,48,1,1,1
3.25,11,11,84,1,1,1
3.25,16,16,61,1,1,1
4.0,10,11,55,1,1,1
3.0,16,16,72,1,1,1
3.25,14,14,63,1,1,1
3.75,13,13,32,1,1,1
3.0,7,7,18,1,1,1
4.25,9,9,36,1,1,1
3.5,7,9,73,1,1,1
4.0,9,9,62,1,1,1
3.75,10,10,81,1,1,1
4.0,15,15,72,1,1,1
3.75,16,16,83,1,1,1
3.5,15,15,69,1,1,1
4.5,15,15,55,1,1,1
3.75,15,15,56,1,1,1
