no_of_events,avg_pressure,label
17,0.668050776,3
12,0.524183031,3
28,0.448179301,4
56,0.395238124,1
7,0.54229694,2
8,0.35686277,3
30,0.569411787,1
11,0.473440312,2
3,0.34509806,3
53,0.522086594,4
40,0.569803939,1
38,0.499896821,1
34,0.69896197,1
2,0.41568631,3
29,0.607978384,1
0,0,2
116,0.472346208,1
54,0.59462602,4
16,0.573529435,3
14,0.594958005,3
21,0.411577995,2
41,0.547106672,1
9,0.601307213,3
55,0.395008937,1
14,0.352941201,2
10,0.321568642,2
14,0.574789939,3
56,0.663305343,4
42,0.44033616,1
22,0.486274541,3
27,0.54960061,1
71,0.582380579,4
2,0.43137255,3
19,0.504437586,3
26,0.548416313,1
13,0.418702895,3
7,0.578151269,2
0,0,3
41,0.420086112,1
22,0.430659562,2
28,0.536694698,1
19,0.473890639,3
39,0.608144817,1
2,0.462745135,3
45,0.494291966,4
20,0.465882379,2
12,0.271895437,2
25,0.49756865,1
70,0.614229714,4
36,0.638344249,1
7,0.712605084,3
44,0.613547257,4
0,0,3
4,0.39607845,3
21,0.324929987,2
46,0.590281352,1
56,0.477871171,1
19,0.447471648,3
7,0.347338956,2
17,0.611764731,3
24,0.466013093,3
3,0.470588263,2
34,0.435063459,4
19,0.492879283,3
21,0.628197979,3
43,0.597172852,4
53,0.566777677,1
20,0.541176493,2
25,0.556549045,4
47,0.516979582,4
70,0.618263325,1
19,0.620846258,3
22,0.479144407,3
21,0.484033633,3
41,0.577331441,1
48,0.628431399,1
59,0.579062835,4
52,0.559879362,1
53,0.487162441,4
7,0.212885169,2
38,0.627038211,1
34,0.485813179,4
33,0.512893662,1
37,0.543084286,4
34,0.437831631,4
34,0.632987331,1
2,0.57254906,2
21,0.439215715,2
98,0.417767134,4
12,0.545098058,3
37,0.418865956,4
34,0.432295299,1
12,0.609150352,2
8,0.637254935,3
45,0.653594797,1
36,0.590413967,4
50,0.627764731,4
42,0.414939335,1
30,0.397908522,4
45,0.509629654,4
41,0.384887635,1
38,0.546542854,1
31,0.418975357,4
11,0.500534783,3
21,0.386181161,2
46,0.588917327,1
28,0.561904788,1
31,0.621884906,4
59,0.611232991,1
38,0.436326134,1
39,0.322171964,4
26,0.410256435,4
29,0.533874263,4
26,0.507390675,4
4,0.66274512,2
69,0.53833478,1
62,0.668690725,1
50,0.647215712,1
16,0.586274538,2
42,0.481045781,1
18,0.484531619,3
88,0.57593585,1
36,0.512418327,1
48,0.541176495,4
173,0.490173438,1
43,0.420611061,1
48,0.66797388,1
22,0.355080239,2
17,0.47981548,3
5,0.222745104,3
15,0.454901992,3
16,0.565686303,3
34,0.472895066,1
47,0.395828147,1
27,0.505446647,4
41,0.433859426,1
96,0.362908521,4
62,0.567488952,1
148,0.495919475,1
45,0.585620937,1
23,0.6158568,2
15,0.569934663,3
21,0.486274541,3
30,0.511372575,4
25,0.417254931,1
58,0.569303605,4
41,0.551697777,1
19,0.368214675,3
70,0.495014032,1
17,0.647750889,2
35,0.417254928,4
23,0.435805651,2
40,0.439215713,4
12,0.550326817,3
84,0.387861837,1
59,0.449318739,4
49,0.504841964,4
67,0.512262241,1
10,0.644705909,3
58,0.465990562,1
21,0.436227858,2
14,0.653221305,2
4,0.505882383,3
43,0.628180593,1
10,0.487843161,3
33,0.570410003,4
5,0.436078462,3
33,0.530481306,4
5,0.49882355,3
41,0.330942151,4
40,0.597254927,4
11,0.597504485,3
28,0.346778729,1
28,0.592717113,4
37,0.561738234,1
25,0.512627475,4
51,0.478585183,1
16,0.567647088,3
19,0.458204365,3
34,0.727566336,1
113,0.499045662,1
54,0.401161977,1
31,0.496394709,1
7,0.661064444,3
18,0.488017451,3
2,0.737254945,3
54,0.582716073,1
4,0.568627473,2
49,0.496518633,4
52,0.453393692,1
11,0.385026763,2
30,0.392156887,4
31,0.383554736,1
45,0.660566463,1
4,0.33725491,2
11,0.556149757,3
49,0.347018834,1
53,0.526822076,1
31,0.444275801,1
29,0.423529438,1
52,0.59155357,4
4,0.321568645,2
4,0.435294153,3
3,0.15686275,2
22,0.500534784,2
12,0.403921598,2
9,0.444444473,3
44,0.566488432,1
6,0.551634005,3
18,0.596078457,3
26,0.6075415,4
56,0.514565856,1
61,0.546962417,1
50,0.558431398,1
5,0.65882356,2
14,0.536694707,3
51,0.572087684,4
12,0.567320284,3
6,0.386928132,2
19,0.544891667,3
62,0.548260617,4
41,0.450693475,1
39,0.584414301,1
47,0.50529831,1
77,0.252406431,4
113,0.556238096,1
49,0.554141679,4
43,0.624532628,1
26,0.52911013,4
89,0.579510929,1
2,0.305882365,2
0,0,3
3,0.172549027,2
46,0.360102326,4
39,0.529713445,4
17,0.507497136,3
57,0.684141752,1
24,0.433986951,2
3,0.528104603,2
45,0.662309395,1
37,0.446846873,1
31,0.549525643,4
56,0.519327755,1
30,0.64209153,1
53,0.51379951,1
10,0.52705884,2
17,0.546251466,3
49,0.587435002,1
35,0.494341759,1
4,0.47450983,3
0,0,3
21,0.402614402,3
32,0.49362748,1
7,0.60952383,3
6,0.677124225,2
53,0.658823556,1
3,0.596078453,2
31,0.456926029,1
17,0.369088837,2
54,0.653304308,1
51,0.501345662,1
35,0.605490214,4
39,0.595274027,1
43,0.616871892,1
57,0.413897519,1
19,0.690196091,3
0,0,3
42,0.431746063,1
6,0.394771272,3
7,0.517647087,2
6,0.413071917,2
4,0.474509823,3
31,0.408855182,1
9,0.280610033,3
21,0.399626546,3
2,0.45490196,3
7,0.304761923,3
30,0.713725498,1
44,0.62424245,1
36,0.491939023,1
11,0.436363668,3
4,0.125490203,3
18,0.447930304,3
19,0.473890627,3
19,0.484623349,2
23,0.596760461,2
50,0.465254925,4
13,0.518853717,2
0,0,3
45,0.674161247,1
1,0.75294125,2
14,0.556862769,3
11,0.526203234,2
52,0.570739088,4
51,0.589004252,1
7,0.544537834,3
18,0.640522895,2
7,0.463865571,3
14,0.365266135,2
0,0,3
13,0.494720989,3
27,0.49673205,1
50,0.45113728,4
26,0.441025668,1
41,0.55973221,1
34,0.497347197,1
11,0.41925136,2
56,0.643977611,4
10,0.566274528,3
0,0,3
5,0.31372551,3
19,0.406191968,2
5,0.65882354,2
55,0.616898418,1
68,0.283967719,1
61,0.457987811,1
37,0.560890324,4
16,0.612745119,2
52,0.598190066,4
3,0.65882355,2
6,0.308496742,2
13,0.555052812,3
16,0.570588264,2
2,0.250980405,2
31,0.47160028,1
80,0.587254924,1
57,0.554798786,1
7,0.428011229,2
14,0.480672292,2
27,0.564705904,1
51,0.588696677,1
13,0.421116161,3
40,0.649803947,4
11,0.326559733,2
0,0,3
27,0.497893993,1
27,0.447930311,1
40,0.476078455,4
78,0.606133757,1
16,0.364705904,3
12,0.366013098,2
5,0.310588248,2
1,0.23529413,2
1,0.3137255,3
6,0.713725513,3
46,0.438192697,1
30,0.519215703,1
0,0,3
86,0.515093503,1
9,0.449673237,3
4,0.282352958,2
0,0,3
0,0,3
50,0.651294141,1
36,0.692374751,1
36,0.610021812,1
2,0.72941177,2
104,0.49110108,1
9,0.404357327,3
30,0.648888906,1
25,0.513254925,4
76,0.528998994,1
9,0.268409604,3
13,0.442835618,3
44,0.440285231,1
17,0.297116511,3
25,0.510117671,1
33,0.457754038,1
10,0.50352943,3
25,0.546509823,1
58,0.494658576,4
7,0.441456607,2
19,0.435913345,2
44,0.523351181,1
17,0.473356429,3
0,0,3
27,0.45374004,1
46,0.567092946,1
8,0.276470599,2
61,0.553905519,1
19,0.383075357,2
4,0.631372588,2
54,0.324763998,1
69,0.634271124,1
20,0.460392185,3
25,0.559058843,1
46,0.615856798,4
17,0.670818935,2
34,0.41245678,1
0,0,3
23,0.437851689,3
51,0.596386029,4
6,0.478431387,2
7,0.405602259,3
50,0.593254925,1
32,0.486764729,1
11,0.403565085,3
54,0.579520719,1
16,0.512745123,3
12,0.495424858,3
5,0.313725502,2
8,0.396078451,3
38,0.544066072,1
7,0.385434196,2
29,0.528465206,4
6,0.363398717,3
135,0.494872938,1
25,0.48188238,4
7,0.246498613,3
28,0.675070046,1
36,0.531154711,4
50,0.66854905,1
50,0.552784332,4
46,0.444330803,1
11,0.423529438,2
13,0.609351456,3
7,0.376470617,2
34,0.465513293,4
5,0.58980396,3
55,0.556720164,4
9,0.67625275,2
11,0.41497329,2
47,0.403170655,1
48,0.449346437,1
1,0.2509804,3
31,0.50347884,1
55,0.552156884,1
2,0.345098065,3
15,0.339869299,3
52,0.611463068,1
66,0.61746883,1
0,0,3
28,0.633053239,1
16,0.480392179,2
67,0.478080217,1
55,0.313155093,4
10,0.376470617,2
23,0.310997464,2
59,0.437354628,4
42,0.630065377,1
33,0.505288197,1
2,0.462745115,2
12,0.541176487,3
43,0.470588262,4
46,0.637681184,4
43,0.401276821,1
3,0.35555558,3
20,0.629019634,3
61,0.475988454,1
17,0.453056542,3
9,0.461873664,3
67,0.511559873,1
46,0.639727235,1
0,0,3
40,0.672156888,1
21,0.404108334,3
