typing_speed,max_text,touch_count,shake_count,arousal,valence,state
2.0,28,29,136,0,-1,3
2.1111,37,37,157,0,1,2
2.2222,27,31,165,0,1,2
1.8889,35,35,150,0,1,2
2.0,35,39,166,0,1,2
2.0,37,37,159,0,1,2
1.5556,34,34,174,0,1,2
1.7778,32,36,117,0,1,2
1.8889,35,35,192,0,1,2
2.0,43,43,168,0,1,2
1.4444,23,28,144,0,1,2
2.0,42,42,157,0,1,2
1.8889,26,26,171,0,1,2
1.7778,26,34,215,0,1,2
1.8889,44,44,185,0,1,2
1.6667,30,30,131,0,1,2
1.7778,36,36,193,0,1,2
2.3333,16,17,172,1,-1,4
2.3333,40,40,124,0,-1,3
2.3333,38,38,114,0,1,2
1.8889,35,38,123,0,1,2
3.2222,18,18,27,1,-1,4
3.8889,19,19,40,1,1,1
4.1111,19,19,48,1,1,1
3.1111,25,25,49,1,1,1
5.0,17,17,35,1,1,1
2.5556,19,19,18,0,-1,3
4.3333,16,18,20,1,-1,4
4.4444,18,19,29,1,1,1
1.3333,27,27,26,0,-1,3
4.7778,17,17,25,1,-1,4
3.2222,16,16,24,1,1,1
4.6667,15,16,19,1,1,1
4.6667,26,26,23,1,1,1
4.5556,29,29,74,1,1,1
3.3333,17,17,58,1,1,1
4.3333,17,17,25,1,1,1
3.4444,16,18,29,1,1,1
4.5556,27,27,55,1,1,1
4.5556,30,30,18,1,1,1
4.2222,21,21,42,1,1,1
3.6667,20,20,29,1,1,1
