typing_speed,backspace_key_press_freq,max_text,touch_count,shake_count,arousal
1.7500,0,7,7,14,0
2.0000,0,8,8,16,0
2.0000,0,9,9,29,0
2.0000,0,7,7,6,0
1.7500,0,7,7,10,0
1.7500,0,4,4,17,0
0.5000,0,4,4,82,0
1.5000,0,4,4,16,0
1.5000,0,5,5,14,0
1.0000,0,8,8,62,0
2.5000,0,14,14,35,0
2.2500,0,11,11,31,0
1.7500,2,6,8,43,0
2.2500,0,10,10,30,0
1.7500,0,8,8,27,0
1.7500,0,8,8,23,0
1.7500,0,8,8,24,0
2.2500,0,7,7,42,0
1.7500,0,7,7,23,0
1.5000,0,11,11,56,0
3.0000,0,10,10,79,0
2.7500,1,11,12,42,0
2.7500,0,9,9,50,0
2.2500,0,7,7,41,0
2.7500,0,11,11,48,0
2.5000,0,11,11,33,0
2.5000,0,9,9,49,0
2.2500,0,11,11,49,0
2.5000,0,11,11,60,0
2.5000,0,13,13,31,0
2.5000,0,12,12,33,0
2.2500,0,12,12,15,0
2.0000,0,12,12,8,0
2.0000,0,10,10,15,0
2.2500,0,9,9,17,0
1.5000,0,9,9,21,0
2.0000,0,9,9,0,0
1.7500,0,7,7,4,0
2.2500,0,8,8,2,0
2.2500,0,15,15,57,0
2.2500,0,14,14,49,0
2.5000,0,13,13,7,0
2.5000,0,15,15,20,0
2.2500,0,11,11,9,0
2.0000,0,9,9,19,0
2.5000,0,9,9,17,0
2.0000,0,10,10,4,0
2.0000,0,10,10,10,0
2.0000,0,8,8,13,0
3.0000,0,5,5,86,1
3.0000,0,9,9,63,1
2.5000,0,13,13,65,1
2.7500,0,12,12,61,1
2.7500,0,10,10,80,1
3.0000,0,11,11,75,1
2.0000,0,11,11,75,1
2.5000,0,11,11,61,1
2.2500,1,9,10,49,1
4.0000,0,7,7,78,1
3.5000,0,9,9,103,1
3.0000,0,7,7,78,1
3.2500,0,15,15,98,1
3.0000,0,15,15,87,1
3.2500,0,12,12,65,1
3.7500,0,14,14,99,1
3.0000,0,12,12,62,1
3.5000,0,12,12,74,1
3.0000,0,15,15,82,1
3.7500,0,10,10,62,1
3.0000,0,10,10,105,1
2.7500,0,8,8,88,1
3.0000,0,8,8,75,1
3.0000,0,14,14,88,1
3.2500,0,13,13,75,1
3.0000,0,9,9,65,1
3.0000,0,12,12,60,1
2.5000,0,12,12,53,1
2.7500,0,14,14,49,1
3.2500,0,8,8,10,1
3.7500,0,8,8,50,1
2.7500,0,8,8,56,1
3.7500,0,8,8,48,1
3.2500,0,11,11,84,1
3.2500,0,16,16,61,1
4.0000,1,10,11,55,1
3.0000,0,16,16,72,1
3.2500,0,14,14,63,1
3.7500,0,13,13,32,1
3.0000,0,7,7,18,1
4.2500,0,9,9,36,1
3.5000,2,7,9,73,1
4.0000,0,9,9,62,1
3.7500,0,10,10,81,1
4.0000,0,15,15,72,1
3.7500,0,16,16,83,1
3.5000,0,15,15,69,1
4.5000,0,15,15,55,1
3.7500,0,15,15,56,1
