typing_speed,backspace_key_press_freq,max_text,touch_count,shake_count,arousal
1,0,2,2,2,0
3,0,2,2,11,0
2,0,2,2,25,0
2,0,2,2,5,0
1,0,1,1,1,0
2,0,2,2,10,0
2,0,2,2,2,0
2,0,2,2,1,0
2,0,2,2,3,0
1,0,2,2,2,0
3,0,2,2,6,0
2,0,2,2,5,0
2,0,3,3,10,0
2,0,2,2,6,0
3,0,1,1,2,0
1,0,3,3,11,0
3,0,2,2,2,0
1,0,1,1,1,0
2,0,2,2,2,0
2,0,2,2,1,0
2,0,1,1,2,0
1,0,2,2,7,0
2,0,2,2,1,0
2,0,2,2,0,0
2,0,2,2,2,0
1,0,2,2,7,0
2,0,0,0,3,0
2,0,0,0,5,0
0,0,0,0,40,0
0,0,2,2,19,0
1,0,1,1,1,0
1,0,1,1,22,0
1,0,1,1,2,0
3,0,1,1,3,0
0,0,1,1,6,0
2,0,1,1,5,0
2,0,1,1,1,0
2,0,1,1,4,0
1,0,1,1,5,0
1,0,2,2,4,0
3,0,1,1,0,0
2,0,2,2,26,0
0,0,3,3,21,0
-1,0,2,2,15,0
2,0,4,4,2,0
3,0,3,3,16,0
3,0,4,4,9,0
2,0,3,3,8,0
3,0,3,3,9,0
1,0,3,3,7,0
3,0,3,3,11,0
2,0,2,2,4,0
2,0,3,3,17,0
2,0,1,1,9,0
2,2,0,2,7,0
1,0,2,2,10,0
3,0,2,2,8,0
2,0,3,3,6,0
1,0,2,2,5,0
3,0,3,3,11,0
2,0,2,2,2,0
1,0,2,2,10,0
3,0,2,2,5,0
1,0,2,2,10,0
2,0,3,3,12,0
2,0,2,2,2,0
1,0,1,1,5,0
2,0,2,2,4,0
2,0,3,3,2,0
2,0,1,1,10,0
2,0,2,2,8,0
1,0,2,2,4,0
3,0,2,2,7,0
2,0,2,2,8,0
1,0,2,2,13,0
3,0,1,1,14,0
2,0,3,3,1,0
1,0,1,1,5,0
2,0,2,2,7,0
2,0,1,1,10,0
4,0,0,0,18,0
1,0,3,3,3,0
0,0,4,4,0,0
1,0,4,4,35,0
3,0,1,1,16,0
3,0,4,4,19,0
3,0,1,1,26,0
3,0,4,4,18,0
3,0,3,3,8,0
3,0,4,4,11,0
2,0,2,2,11,0
3,1,2,3,12,0
3,0,2,2,14,0
3,0,2,2,19,0
2,0,3,3,7,0
3,0,2,2,10,0
2,0,1,1,10,0
2,0,1,1,15,0
3,0,1,1,10,0
2,0,4,4,6,0
3,0,2,2,9,0
3,0,4,4,9,0
3,0,2,2,8,0
2,0,3,3,22,0
3,0,2,2,4,0
3,0,3,3,11,0
1,0,3,3,12,0
3,0,3,3,6,0
2,0,2,2,15,0
3,0,3,3,21,0
3,0,2,2,7,0
2,0,2,2,6,0
2,0,3,3,10,0
1,0,2,2,14,0
3,0,3,3,9,0
3,0,3,3,16,0
2,0,3,3,13,0
3,0,3,3,13,0
2,0,2,2,18,0
3,0,3,3,16,0
3,0,4,4,11,0
2,0,3,3,7,0
2,0,3,3,8,0
3,0,3,3,5,0
2,0,3,3,0,0
3,0,2,2,16,0
3,0,4,4,9,0
2,0,3,3,8,0
2,0,3,3,1,0
2,0,3,3,3,0
2,0,3,3,7,0
3,0,3,3,4,0
2,0,4,4,5,0
2,0,3,3,1,0
3,0,3,3,0,0
1,0,2,2,2,0
2,0,3,3,1,0
2,0,1,1,4,0
2,0,3,3,9,0
2,0,3,3,1,0
2,0,2,2,9,0
2,0,3,3,3,0
2,0,2,2,0,0
3,0,2,2,5,0
0,0,3,3,7,0
2,0,2,2,0,0
2,0,2,2,8,0
2,0,2,2,6,0
2,0,2,2,0,0
3,0,3,3,0,0
1,0,1,1,0,0
2,0,3,3,0,0
2,0,2,2,0,0
2,0,1,1,2,0
1,0,2,2,2,0
2,0,2,2,0,0
3,0,2,2,0,0
2,0,3,3,2,0
2,0,2,2,0,0
2,0,1,1,0,0
2,0,3,3,18,0
3,0,4,4,18,0
2,0,4,4,12,0
2,0,4,4,9,0
2,0,3,3,12,0
2,0,3,3,10,0
3,0,4,4,0,0
2,0,4,4,27,0
3,0,3,3,2,0
2,0,3,3,3,0
2,0,4,4,2,0
3,0,3,3,0,0
2,0,4,4,4,0
3,0,4,4,4,0
2,0,3,3,10,0
3,0,4,4,2,0
2,0,4,4,1,0
2,0,2,2,4,0
3,0,3,3,2,0
2,0,2,2,2,0
2,0,2,2,4,0
2,0,2,2,5,0
2,0,3,3,5,0
2,0,2,2,5,0
2,0,2,2,1,0
2,0,3,3,7,0
3,0,2,2,2,0
3,0,2,2,7,0
2,0,3,3,1,0
2,0,2,2,2,0
2,0,3,3,1,0
2,0,2,2,0,0
2,0,3,3,2,0
2,0,2,2,0,0
2,0,2,2,4,0
2,0,3,3,4,0
3,0,2,2,2,0
1,0,2,2,4,0
2,0,2,2,2,0
2,0,2,2,5,0
2,0,5,5,20,0
2,0,0,0,10,0
1,0,4,4,24,0
1,0,5,5,6,0
2,0,3,3,23,0
3,0,4,4,21,0
1,0,4,4,18,0
2,0,4,4,9,0
3,0,4,4,0,0
2,0,4,4,22,0
2,0,3,3,3,0
3,0,4,4,1,0
3,0,4,4,18,0
2,0,3,3,33,0
2,0,2,2,3,0
3,0,2,2,1,0
2,0,4,4,6,0
3,0,4,4,7,0
2,0,4,4,3,0
3,0,4,4,4,0
2,0,1,1,1,0
3,0,2,2,2,0
3,0,2,2,4,0
2,0,1,1,3,0
3,0,2,2,0,0
3,0,2,2,3,0
3,0,2,2,3,0
3,0,1,1,8,0
1,0,3,3,4,0
3,0,2,2,12,0
2,0,3,3,7,0
3,0,2,2,17,0
2,0,3,3,0,0
2,0,2,2,3,0
2,0,2,2,0,0
3,0,3,3,2,0
3,0,2,2,2,0
2,0,3,3,4,0
0,0,2,2,6,0
1,0,3,3,3,0
2,0,3,3,24,0
2,0,6,6,21,0
2,0,3,3,25,0
1,0,5,5,16,0
2,0,5,5,20,0
2,0,4,4,22,0
2,0,4,4,15,0
1,0,5,5,8,0
2,0,3,3,14,0
1,0,4,4,7,0
2,0,2,2,0,0
2,0,5,5,37,0
2,0,5,5,3,0
1,0,4,4,3,0
2,0,5,5,11,0
2,0,5,5,2,0
2,0,4,4,0,0
2,0,4,4,0,0
2,0,1,1,3,0
2,0,4,4,0,0
2,0,4,4,0,0
2,0,1,1,0,0
2,0,2,2,0,0
2,0,2,2,0,0
2,0,2,2,0,0
3,0,2,2,1,0
2,0,2,2,2,0
2,0,1,1,0,0
2,0,2,2,3,0
1,0,1,1,0,0
2,0,1,1,0,0
2,0,2,2,7,0
2,0,2,2,2,0
2,0,2,2,0,0
2,0,2,2,0,0
2,0,2,2,4,0
1,0,1,1,0,0
2,0,2,2,1,0
1,0,2,2,0,0
2,0,3,3,6,0
3,0,5,5,14,0
2,0,4,4,23,0
2,0,6,6,17,0
2,0,2,2,17,0
2,0,4,4,14,0
2,0,4,4,17,0
3,0,3,3,15,0
2,0,2,2,6,0
2,0,3,3,15,0
2,0,5,5,12,0
2,0,2,2,11,0
3,0,5,5,7,0
2,0,4,4,0,0
2,0,5,5,28,0
2,0,4,4,4,0
3,0,2,2,2,0
2,0,4,4,20,0
2,0,3,3,1,0
2,0,1,1,1,0
2,0,5,5,5,0
2,0,4,4,1,0
2,0,2,2,2,0
-1,0,2,2,0,0
2,0,2,2,1,0
2,0,2,2,3,0
2,0,2,2,2,0
2,0,2,2,2,0
2,0,2,2,0,0
3,0,3,3,0,0
2,0,2,2,2,0
2,0,2,2,5,0
1,0,2,2,1,0
2,0,2,2,4,0
2,0,2,2,5,0
2,0,0,0,1,0
1,0,3,3,0,0
1,0,2,2,0,0
3,0,2,2,9,0
2,0,2,2,2,0
2,0,3,3,3,0
2,0,5,5,25,0
2,0,4,4,14,0
2,0,5,5,16,0
1,0,5,5,16,0
2,0,5,5,12,0
1,0,5,5,20,0
2,0,6,6,29,0
2,0,4,4,19,0
2,0,5,5,18,0
1,0,5,5,14,0
2,0,5,5,19,0
2,0,5,5,2,0
-1,0,4,4,9,0
2,0,3,3,5,0
2,0,4,4,0,0
2,0,5,5,32,0
2,0,5,5,9,0
2,0,2,2,4,0
2,0,5,5,5,0
2,0,4,4,14,0
2,0,5,5,4,0
1,0,5,5,4,0
2,0,4,4,7,0
2,0,3,3,6,0
2,0,1,1,3,0
2,0,2,2,1,0
2,0,1,1,3,0
2,0,2,2,0,0
2,0,1,1,7,0
